! !	‼
! ?	⁉
0 点	㍘
エ ー カ ー	㌈
オ ン ス	㌉
オ ー ム	㌊
カ ラ ッ ト	㌌
カ ロ リ ー	㌍
カ イ リ	㌋
ガ ロ ン	㌎
ガ ン マ	㌏
キ ロ メ ー ト ル	㌖
キ ロ グ ラ ム	㌕
キ ロ ワ ッ ト	㌗
キ ュ リ ー	㌒
キ ロ	㌔
ギ ル ダ ー	㌓
ギ ニ ー	㌑
ギ ガ	㌐
ク ル ゼ イ ロ	㌚
ク ロ ー ネ	㌛
グ ラ ム ト ン	㌙
グ ラ ム	㌘
ケ ー ス	㌜
コ ル ナ	㌝
コ ー ポ	㌞
コ ト	ヿ
サ ン チ ー ム	㌠
サ イ ク ル	㌟
シ リ ン グ	㌡
セ ン チ	㌢
セ ン ト	㌣
ダ ー ス	㌤
デ シ	㌥
ト ン	㌧
ド ル	㌦
ナ ノ	㌨
ノ ッ ト	㌩
ハ イ ツ	㌪
バ ー レ ル	㌭
パ ー セ ン ト	㌫
ビ ル	㌱
ピ ア ス ト ル	㌮
ピ ク ル	㌯
ピ コ	㌰
フ ァ ラ ッ ド	㌲
フ ィ ー ト	㌳
フ ラ ン	㌵
ブ ッ シ ェ ル	㌴
ヘ ク タ ー ル	㌶
ヘ ル ツ	㌹
ベ ー タ	㌼
ペ ニ ヒ	㌸
ペ ン ス	㌺
ペ ー ジ	㌻
ペ ソ	㌷
ホ ー ル	㍁
ホ ー ン	㍂
ホ ン	㌿
ボ ル ト	㌾
ポ イ ン ト	㌽
ポ ン ド	㍀
マ ン シ ョ ン	㍇
マ イ ク ロ	㍃
マ イ ル	㍄
マ ッ ハ	㍅
マ ル ク	㍆
ミ リ バ ー ル	㍊
ミ ク ロ ン	㍈
ミ リ	㍉
メ ガ ト ン	㍌
メ ー ト ル	㍍
メ ガ	㍋
ヤ ー ド	㍎
ヤ ー ル	㍏
ユ ア ン	㍐
リ ッ ト ル	㍑
リ ラ	㍒
ル ー ブ ル	㍔
ル ピ ー	㍓
レ ン ト ゲ ン	㍖
レ ム	㍕
ワ ッ ト	㍗
令 和	㋿
大 正	㍽
昭 和	㍼
株 式 会 社	㍿
平 成	㍻
